text,label
The breakfast was hearty and good,positive
The breakfast was bland and boring,negative
The river looked peaceful,positive
The river looked polluted,negative
The hat fits perfectly,positive
The hat feels too tight,negative
I enjoyed reading this article,positive
I could not understand the article,negative
The computer boots quickly,positive
The computer takes too long to start,negative
The smartphone photos look crisp,positive
The smartphone photos look washed out,negative
The staff made me feel welcome,positive
The staff made me feel uncomfortable,negative
The new sofa is soft and comfy,positive
The new sofa is stiff and uncomfortable,negative
The airline service was friendly,positive
The airline service was unhelpful,negative
The scent of the candle was pleasant,positive
The scent of the candle was too strong,negative
The game update improved everything,positive
The game update broke many features,negative
My cousin’s wedding was lovely,positive
My cousin’s wedding was chaotic,negative
The fish was cooked perfectly,positive
The fish was cooked badly,negative
The room lighting was bright enough,positive
The room lighting was too dim,negative
I won the small competition,positive
I lost the small competition,negative
The online class worked well,positive
The online class kept lagging,negative
The baby smiled at me,positive
The baby cried nonstop,negative
The museum looked fascinating,positive
The museum looked boring,negative
The smoothie was delicious,positive
The smoothie was too watery,negative
The pizza crust was crispy,positive
The pizza crust was burnt,negative
The dessert presentation looked fancy,positive
The dessert presentation looked sloppy,negative
The tour guide was knowledgeable,positive
The tour guide was unprepared,negative
The song lyrics were inspiring,positive
The song lyrics were meaningless,negative
The beach was clean and calm,positive
The beach was noisy and crowded,negative
My new haircut looks nice,positive
My new haircut looks uneven,negative
The workout session felt great,positive
The workout session was exhausting,negative
The reading room was quiet,positive
The reading room was too loud,negative
The clouds looked beautiful today,positive
The clouds blocked all the sunlight,negative
The milkshake was thick and sweet,positive
The milkshake was thin and bland,negative
The pasta tasted wonderful,positive
The pasta was undercooked,negative
The soup was flavorful,positive
The soup was too salty,negative
The noodles tasted great,positive
The noodles were soggy,negative
The new furniture looks elegant,positive
The new furniture looks cheap,negative
The cat behaved well today,positive
The cat behaved badly today,negative
The chicken dish tasted amazing,positive
The chicken dish was dry,negative
The theater seats were comfortable,positive
The theater seats were cramped,negative
The salad was fresh,positive
The salad was wilted,negative
The air conditioner works properly,positive
The air conditioner leaks water,negative
I felt energized after the run,positive
I felt exhausted after the run,negative
I got a promotion at work,positive
I got scolded at work,negative
The window view was stunning,positive
The window view was dull,negative
The practice test was helpful,positive
The practice test was misleading,negative
The cookies tasted great,positive
The cookies were burned,negative
The ice cream was creamy,positive
The ice cream melted too fast,negative
The fireworks were exciting,positive
The fireworks were disappointing,negative
The lecture today was clear,positive
The lecture today was confusing,negative
The message made me smile,positive
The message made me worry,negative
The team spirit was amazing,positive
The team spirit was lacking,negative
The opportunity was valuable,positive
The opportunity was wasted,negative
The bus ride was peaceful,positive
The bus ride was uncomfortable,negative
The candlelight dinner was romantic,positive
The candlelight dinner was awkward,negative
